"","id","name","role","cast_crew","movie_id","overview","release_date","genre_ids","original_title","original_language","title","popularity","vote_count","vote_average"
"1",1732014,"Daniel Hartwich","Buster Moon (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"2",5644,"Alexandra Maria Lara","Rosita (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"3",1276772,"Klaas Heufer-Umlauf","Mike (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"4",1786521,"Stefanie Kloß","Ashley (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"5",1359373,"Olli Schulz","Eddie Noodleman (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"6",43451,"Iris Berben","Nana Noodleman (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"7",1258909,"Patrick Baehr","Johnny (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"8",235806,"Waléra Kanischtscheff","Boss Bär (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"9",71433,"Tilo Schmitz","Big Daddy (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"10",10297,"Matthew McConaughey","Buster Moon (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"11",368,"Reese Witherspoon","Rosita (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"12",52139,"Seth MacFarlane","Mike (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"13",1245,"Scarlett Johansson","Ash (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"14",4764,"John C. Reilly","Eddie (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"15",1303037,"Taron Egerton","Johnny (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"16",1540615,"Tori Kelly","Meena (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"17",24203,"Rhea Perlman","Judith (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"18",208519,"Nick Kroll","Gunter (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"19",17039,"Nick Offerman","Norman (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"20",52842,"Garth Jennings","Miss Crawly / Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"21",11115,"Peter Serafinowicz","Big Daddy (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"22",1180696,"Beck Bennett","Lance (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"23",12094,"Jennifer Saunders","Nana (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"24",15565,"Jennifer Hudson","Young Nana (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"25",1099717,"Jay Pharoah","Meena's Grandfather (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"26",35159,"Laraine Newman","Meena's Grandmother / Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"27",84213,"Bill Farmer","News Reporter Dog (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"28",155532,"Adam Buxton","Stan (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"29",1139648,"Brad Morris","Baboon (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"30",5655,"Wes Anderson","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"31",124748,"Chris Renaud","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"32",11090,"Edgar Wright","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"33",1523670,"Asher Blinkoff","Piglet (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"34",1638288,"Jessica Rau","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"35",59784,"Carlos Alazraqui","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"36",1742311,"Sara Mann","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"37",96310,"Daamen J. Krall","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"38",78317,"Bob Bergen","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"39",168874,"Doug Burch","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"40",64948,"Catherine Cavadini","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"41",1231272,"Jason Pace","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"42",35035,"Townsend Coleman","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"43",1742313,"Abby Craden","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"44",12077,"Jim Cummings","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"45",56348,"John DeMita","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"46",938425,"Willow Geer","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"47",15762,"Tara Strong","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"48",84495,"Jess Harnell","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"49",168452,"Leslie Jones","Meena's Mother (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"50",1736664,"Oscar Jennings","Piglet (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"51",1736670,"Leo Jennings","Piglet (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"52",1736671,"Caspar Jennings","Piglet (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"53",1736672,"Asa Jennings","Piglet (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"54",1540616,"Jon Robert Hall","Frog (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"55",567614,"Laura Dickinson","Spider (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"56",1560264,"Jen Faith Brown","Singer (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"57",1713834,"Áurea","Voice 1","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"58",1713835,"Marisa Liz","Voice 2","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"59",1713836,"Mickael Carreira","Voice 3","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"60",1713837,"Deolinda Kinzimba","Voice 4","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"61",98429,"Jeremy Maxwell","Additional Voices (voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"62",1514888,"Maximiliane Häcke","Meena (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"63",235884,"Christian Gaul","Gunter (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"64",1786524,"Olaf Reichmann","Norman (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"65",46390,"Heike Schroetter","Judith (Voice)","cast",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"66",15779,"Gregory Perler","Editor","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"67",38802,"Joby Talbot","Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"68",5720,"Christopher Meledandri","Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"69",65674,"Janet Healy","Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"70",52842,"Garth Jennings","Writer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"72",1418373,"Mac Smith","Sound Effects Editor","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"73",1454676,"Christophe Lourdelet","Co-Director","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"74",237759,"Brett Hoffman","Associate Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"75",61955,"Igor Khait","Co-Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"76",1742327,"Robert Taylor","Associate Producer","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"78",41080,"Allison Jones","Casting","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"79",84493,"Mickie McGowan","Casting","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"80",998570,"Eric Guillon","Production Design","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"81",1742332,"François Moret","Art Direction","crew",335797,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.","2016-11-23","16,35,18,10751,10402","Sing","en","Sing",99.310355,1000,6.7
"82",14,"Ellen DeGeneres","Dory (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"83",13,"Albert Brooks","Marlin (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"84",1559638,"Hayden Rolence","Nemo (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"85",18977,"Ed O'Neill","Hank (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"86",3092,"Diane Keaton","Jenny (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"87",26510,"Eugene Levy","Charlie (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"88",95102,"Kaitlin Olson","Destiny (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"89",15232,"Ty Burrell","Bailey (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"90",17605,"Idris Elba","Fluke (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"91",17287,"Dominic West","Rudder (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"92",1240487,"Kate McKinnon","Wife Fish (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"93",19278,"Bill Hader","Husband Fish (Stan) (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"94",7,"Andrew Stanton","Crush (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"95",8065,"Torbin Xan Bullock","Gerald (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"96",1606371,"Bennett Dammann","Squirt (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"97",10,"Bob Peterson","Mr. Ray (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"98",10205,"Sigourney Weaver","Sigourney Weaver (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"99",12,"Alexander Gould","Passenger Carl (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"100",8066,"Katherine Ringgold","Chicken Fish (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"101",7907,"John Ratzenberger","Husband Crab (Bill) (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"102",7929,"Angus MacLane","Sunfish 'Charlie Back and Forth' (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"103",5293,"Willem Dafoe","Gill (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"104",18,"Brad Garrett","Bloat (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"105",19,"Allison Janney","Peach (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"106",6168,"Austin Pendleton","Gurgle (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"107",17401,"Stephen Root","Bubbles (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"108",14723,"Vicki Lewis","Deb (&Flo) (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"109",7960,"Jerome Ranft","Jacques (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"110",1695063,"Sloane Murray","Young Dory (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"111",1695064,"Lucia Geddes","Tween Dory (voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"112",1695065,"Gabriel C. Brown","Becky","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"113",1742172,"Anke Angelke","Dorie (german voice)","cast",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"114",8071,"Axel Geddes","Editor","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"115",7,"Andrew Stanton","Director","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"116",1396739,"Victoria Strouse","Screenplay","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"120",1715743,"Robb Denovan","Animation Director","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"121",1609044,"Michal Makarewicz","Animation Director","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"122",1715744,"Claire Faggioli","Animation Manager","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
"123",1122215,"Sara Maher","Animation Manager","crew",127380,"Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?","2016-06-16","12,16,35,10751","Finding Dory","en","Finding Dory",40.820013,2899,6.7
